Jahr;Monat;Typ;Elektrizitätserzeugung (brutto);;Elektrizitätserzeugung (netto);data_quality
;;Wärmepumpen (Erd- und Umweltwärme);-;;-;
;;Solarthermie;-;;-;
;;Feste biogene Stoffe;27220;e;25129;e
;;Flüssige biogene Stoffe;-;;-;
;;Biogas;2801;e;2648;e
;;Biomethan (Bioerdgas);-;;-;
;;Klärgas;990;e;977;e
;;Deponiegas;10882;e;10486;e
;;Sonstige erneuerbare Energien;6509;e;5974;e
;;Klärschlamm;3954;e;3459;e
;;Abfall (Hausmüll, Industrie);334185;e;250580;e
;;Abfall (Industrie);-;;-;
;;Abfall (Hausmüll, Siedlungsabfälle);-;;-;
;;Kernenergie;14222729;e;13508114;e
;;Wärme;-;;-;
;;Strom (Elektrokessel);-;;-;
;;Sonstige Energieträger;3612;e;3092;e
;;Andere Speicher;-;;-;
;;Insgesamt;45278335;e;42416564;e
;Dezember;Steinkohlen;10621172;e;9765923;e
;;Steinkohlenkoks;-;;-;
;;Steinkohlenbriketts;-;;-;
;;Kohlenwertstoffe aus Steinkohle;-;;-;
;;Sonstige Steinkohlen;-;;-;
;;Rohbraunkohlen;13426158;e;12408085;e
;;Hartbraunkohlen;61955;e;55725;e
;;Braunkohlenbriketts;4334;e;3847;e
;;Braunkohlenkoks;-;;-;
;;Wirbelschichtkohle;-;;-;
;;Staub- und Trockenkohle;47195;e;42101;e
;;Sonstige Braunkohlen;8738;e;8112;e
;;Dieselkraftstoff;1971;e;1921;e
;;Heizöl, leicht;56255;e;51465;e
;;Heizöl, schwer;43872;e;40445;e
;;Flüssiggas;165;e;155;e
;;Raffineriegas;-;;-;
;;Petrolkoks;8930;e;7381;e
;;Sonstige Mineralölprodukte;109421;e;100284;e
;;Erdgas, Erdölgas;4695238;e;4512728;e
;;Grubengas;49178;e;44555;e
;;Kokereigas;6138;e;5559;e
;;Hochofengas;311979;e;290414;e
;;Sonstige hergestellte Gase;20191;e;18492;e
;;Wasserstoff;-;;-;
;;Laufwasser;1634774;e;1614470;e
;;Speicherwasser;212328;e;207626;e
;;Pumpspeicherwasser;340129;e;331085;e
;;Pumpspeicher mit natürlichem Zufluss;-;;-;
;;Pumpspeicher ohne natürlichen Zufluss;-;;-;
;;Windkraft;13700;e;13421;e
;;Photovoltaik;256;e;247;e
;;Geothermie;-;;-;
;;Wärmepumpen (Erd- und Umweltwärme);-;;-;
;;Solarthermie;-;;-;
;;Feste biogene Stoffe;26342;e;24286;e
;;Flüssige biogene Stoffe;-;;-;
;;Biogas;2779;e;2632;e
;;Biomethan (Bioerdgas);-;;-;
;;Klärgas;1072;e;1056;e
;;Deponiegas;10655;e;10450;e
;;Sonstige erneuerbare Energien;7745;e;7110;e
;;Klärschlamm;23057;e;21240;e
;;Abfall (Hausmüll, Industrie);307252;e;230326;e
;;Abfall (Industrie);-;;-;
;;Abfall (Hausmüll, Siedlungsabfälle);-;;-;
;;Kernenergie;14914384;e;14160759;e
;;Wärme;-;;-;
;;Strom (Elektrokessel);-;;-;
;;Sonstige Energieträger;2804;e;2568;e
;;Andere Speicher;-;;-;
;;Insgesamt;46970165;e;43984469;e
2003;Januar;Steinkohlen;12540112;e;11561741;e
;;Steinkohlenkoks;-;;-;
;;Steinkohlenbriketts;-;;-;
;;Kohlenwertstoffe aus Steinkohle;-;;-;
;;Sonstige Steinkohlen;-;;-;
;;Rohbraunkohlen;13527828;e;12489939;e
;;Hartbraunkohlen;49565;e;44464;e
;;Braunkohlenbriketts;2311;e;1973;e
;;Braunkohlenkoks;3331;e;2928;e
;;Wirbelschichtkohle;-;;-;
;;Staub- und Trockenkohle;45052;e;41126;e
;;Sonstige Braunkohlen;41766;e;35472;e
