statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;3_variable_code;3_variable_label;3_variable_attribute_code;3_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;2024;MONAT;Monate;MONAT09;September;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;ST190;Belgien und Luxemburg;91756;MWh;SDO001;Austauschsaldo;p
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;2024;MONAT;Monate;MONAT09;September;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;ST190;Belgien und Luxemburg;506970;MWh;EKT102;Einfuhr von Elektrizität;e
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;2024;MONAT;Monate;MONAT09;September;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;ST190;Belgien und Luxemburg;415213;MWh;EKT202;Ausfuhr von Elektrizität;e
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;2009;MONAT;Monate;MONAT12;Dezember;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;ST151;Österreich;-1285019;MWh;SDO001;Austauschsaldo;e
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;2009;MONAT;Monate;MONAT12;Dezember;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;ST151;Österreich;472630;MWh;EKT102;Einfuhr von Elektrizität;e
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;2009;MONAT;Monate;MONAT12;Dezember;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;ST151;Österreich;1757649;MWh;EKT202;Ausfuhr von Elektrizität;e
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;2022;MONAT;Monate;MONAT01;Januar;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;ST158;Schweiz;.;MWh;SDO001;Austauschsaldo;
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;2022;MONAT;Monate;MONAT01;Januar;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;ST158;Schweiz;.;MWh;EKT102;Einfuhr von Elektrizität;
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;2022;MONAT;Monate;MONAT01;Januar;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;ST158;Schweiz;.;MWh;EKT202;Ausfuhr von Elektrizität;
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;1992;MONAT;Monate;MONAT12;Dezember;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;ST126;Dänemark;265373;MWh;SDO001;Austauschsaldo;e
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;1992;MONAT;Monate;MONAT12;Dezember;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;ST126;Dänemark;289925;MWh;EKT102;Einfuhr von Elektrizität;e
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;1992;MONAT;Monate;MONAT12;Dezember;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;ST126;Dänemark;24552;MWh;EKT202;Ausfuhr von Elektrizität;e
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;2006;MONAT;Monate;MONAT11;November;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;ST129;Frankreich;1690685;MWh;SDO001;Austauschsaldo;e
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;2006;MONAT;Monate;MONAT11;November;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;ST129;Frankreich;1690752;MWh;EKT102;Einfuhr von Elektrizität;e
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;2006;MONAT;Monate;MONAT11;November;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;ST129;Frankreich;67;MWh;EKT202;Ausfuhr von Elektrizität;e
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;2003;MONAT;Monate;MONAT12;Dezember;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;ST152;Polen;-394210;MWh;SDO001;Austauschsaldo;e
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;2003;MONAT;Monate;MONAT12;Dezember;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;ST152;Polen;3040;MWh;EKT102;Einfuhr von Elektrizität;e
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;2003;MONAT;Monate;MONAT12;Dezember;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;ST152;Polen;397250;MWh;EKT202;Ausfuhr von Elektrizität;e
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;1995;MONAT;Monate;MONAT12;Dezember;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;ST152;Polen;-173543;MWh;SDO001;Austauschsaldo;e
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;1995;MONAT;Monate;MONAT12;Dezember;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;ST152;Polen;185199;MWh;EKT102;Einfuhr von Elektrizität;e
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;1995;MONAT;Monate;MONAT12;Dezember;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;ST152;Polen;358742;MWh;EKT202;Ausfuhr von Elektrizität;e
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;2020;MONAT;Monate;MONAT12;Dezember;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;;Insgesamt;-3395274;MWh;SDO001;Austauschsaldo;p
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;2020;MONAT;Monate;MONAT12;Dezember;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;;Insgesamt;3824609;MWh;EKT102;Einfuhr von Elektrizität;e
