,Biomass,Hard coal,Hydropower,Lignite,Mineral oil,Natural gas,Nuclear,Other,Solar,Wind,Year,Cost,GWP,Variable,Perturbation,Cost_Sensitivity,GWP_Sensitivity,Cost_Normalized_Sensitivity,GWP_Normalized_Sensitivity
257,7.32358092296988,11.864562798406693,4.104651103801449,4.645267033617596,0.5777704255876465,7.485448417998315,9.171616296893188,9.827103000725232,15.0,30.0,2033.0,9.873388079583338,25.0954532523,Nuclear,0%,,,,
258,7.447777574197414,12.06576750732433,4.174259663727461,4.724043606949842,0.587568522009471,7.612390092601242,8.39443750321799,9.99375552997225,15.0,30.0,2033.0,10.96056279577381,25.609245880700005,Nuclear,-10%,0.1101116159344111,0.020473534517768288,-1.2994455064909443,-0.24161158843539526
259,7.203458455757484,11.669958468812819,4.037326003850922,4.569074670508939,0.5682937488452258,7.3626709759766245,9.923300285460517,9.66591739078747,15.0,30.0,2033.0,9.85016281291667,25.1232735365,Nuclear,+10%,-0.002352309711667647,0.0011085786704191473,-0.028701532046719463,0.013526240221483342
260,7.32358092296988,11.864562798406693,4.104651103801449,4.645267033617596,0.5777704255876465,7.485448417998315,9.171616296893188,9.827103000725232,15.0,30.0,2033.0,9.873388079583338,25.0954532523,Other,0%,,,,
261,7.456815271571913,12.080409023432441,4.179325026545766,4.729776119243369,0.5882815221542524,7.621627543272688,9.338471054940813,9.00529443883876,15.0,30.0,2033.0,9.873388079583338,25.583888904700004,Other,-10%,0.0,0.019463113397054827,-0.0,-0.23273792576290434
262,7.1950241173447,11.656294424021889,4.032598805935039,4.563724862185474,0.5676283487703772,7.354050219847501,9.010619414910174,10.620059806984843,15.0,30.0,2033.0,9.85016281291667,25.1300688891,Other,+10%,-0.002352309711667647,0.0013793589002751166,-0.029152142517326524,0.01709437623962178
263,7.32358092296988,11.864562798406693,4.104651103801449,4.645267033617596,0.5777704255876465,7.485448417998315,9.171616296893188,9.827103000725232,15.0,30.0,2033.0,9.873388079583338,25.0954532523,Solar,0%,,,,
264,7.32358092296988,11.864562798406693,4.104651103801449,4.645267033617596,0.5777704255876465,7.485448417998315,9.171616296893188,9.827103000725232,15.0,30.0,2033.0,9.873388079583338,25.0954532523,Solar,-10%,0.0,0.0,,
265,7.123846897797974,11.540983812995602,3.9927060736977724,4.518577932700753,0.562013050344347,7.28129982478018,8.921481306977919,9.559091100705453,16.5,30.0,2033.0,9.997015351250004,25.1554258651,Solar,+10%,0.012521261260084493,0.002389780020988576,0.12521261260084493,0.02389780020988576
266,7.32358092296988,11.864562798406693,4.104651103801449,4.645267033617596,0.5777704255876465,7.485448417998315,9.171616296893188,9.827103000725232,15.0,30.0,2033.0,9.873388079583338,25.0954532523,Wind,0%,,,,
